DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Comment
"78525",78525,Mk10,11/02/2010 18:41:18.549999799999998,GPS,,-49.85565948,72.00920868,,,,,,,,,
"78525",78525,Mk10,11/02/2010 19:05:20.5849999,GPS,,-49.86616135,72.01650238,,,,,,,,,
"78525",78525,Mk10,11/02/2010 19:31:31.749999899999999,GPS,,-49.86774063,72.02989960,,,,,,,,,
"78525",78525,Mk10,11/02/2010 19:56:46.475000000000001,GPS,,-49.87637711,72.04224396,,,,,,,,,
"78525",78525,Mk10,11/02/2010 20:24:43.010000099999999,GPS,,-49.87974548,72.06241608,,,,,,,,,
"78525",78525,Mk10,11/02/2010 20:50:24.965000199999999,GPS,,-49.88847351,72.07855225,,,,,,,,,
"78525",78525,Mk10,11/02/2010 21:15:55.970000200000001,GPS,,-49.89993668,72.08092499,,,,,,,,,
"78525",78525,Mk10,11/02/2010 21:42:12.5350003,GPS,,-49.91188431,72.08149719,,,,,,,,,
"78525",78525,Mk10,11/02/2010 22:08:21.540000299999999,GPS,,-49.92445755,72.08489227,,,,,,,,,
"78525",78525,Mk10,11/02/2010 22:31:56.025000400000003,GPS,,-49.93125534,72.09109497,,,,,,,,,
"78525",78525,Mk10,11/02/2010 22:58:21.550000499999999,GPS,,-49.94293213,72.10010529,,,,,,,,,
"78525",78525,Mk10,11/02/2010 23:25:21.635000399999999,GPS,,-49.94801331,72.11846161,,,,,,,,,
"78525",78525,Mk10,11/03/2010 01:50:34.770000400000001,GPS,,-49.95628357,72.23726654,,,,,,,,,
"78525",78525,Mk10,11/03/2010 02:18:00.075000300000000006,GPS,,-49.95757294,72.26256561,,,,,,,,,
"78525",78525,Mk10,11/03/2010 03:10:48.630000199999998,GPS,,-49.94679642,72.40243530,,,,,,,,,
"78525",78525,Mk10,11/03/2010 03:39:27.425000199999999,GPS,,-49.96051407,72.32694244,,,,,,,,,
"78525",78525,Mk10,11/03/2010 04:07:05.1600001999999998,GPS,,-49.96084595,72.35039520,,,,,,,,,
"78525",78525,Mk10,11/03/2010 04:36:13.6650002,GPS,,-49.96302032,72.37554169,,,,,,,,,
"78525",78525,Mk10,11/03/2010 05:05:45.660000099999998,GPS,,-49.96714783,72.40029144,,,,,,,,,
